Sort,Latitude,Longitude,Sample Sites,Year,,High_Low,DateNote,Slope,WShedArea,DistanceUS,DATE,TIME,D'/W',Depth(ft),Width(ft),XC_Area,W/D,TEMP.,pH,COND.,DO,VEL.,TURB.,TSS,NH3,Hardness,Ca,Mg,Alk,CI,FI,S,Nate,Nite,OP,TP,As,Ba,Cr,Cd,Cu,Fe,Pb,Mn,Hg,Ni,Se,Ag,Na,Zn,E_Coli,Total_Coli,Fecal_Coli,BOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,43.27205,102.1460778,American Horse I,1993,,H,,,,,7/13/93,9:40am,".8""/4'",0.7,4,2.666666667,6,17.3,7.31,364,8.44,2.32,40.5,,,,,,224,2,0.38,24,0.1,0,0.13,0.152,0.006,0.193,0,0.013,0,0.68,0,0.08,0,0.013,0,0.001,31,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,43.27205,102.1460778,American Horse I,1993,,L,,,,,,,,,,,,,,,,,,,,,,,213,3,0.37,22,0.12,0,0.27,0.04,0,0.145,0,0.008,0,0.18,0,0.04,0,0,0,0.0013,35,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,43.27205,102.1460778,American Horse I,1994,,H,,,,,6/15/94,10:00am,"4""/5'",0.3,5,1.666666667,15,18.8,8.12,415,8.3,2.13,22.1,,,,,,249,13,0.37,32,0,0,0.11,0.143,0,0.180,0.007,,0,0.42,0,0.14,0.0002,,,,36,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,43.27205,102.1460778,American Horse I,1994,,L,,,,,,,,,,,,,,,,,,,,,,,226,17,0.40,28,0,0,0.10,0.202,0,0.190,0.007,,0,0.20,0,0.13,0.0003,,,,36,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,43.27205,102.1460778,American Horse I,1995,,H,,,,,6/15/95,10:14am,1'/8',1.0,8,8,8,,,,,,1.92,,,,,,272,8,0.36,48,0.11,0.011,0.44,0.5,0,0.153,0,,0,0.42,0,0.07,0.0007,,,,34,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,43.27205,102.1460778,American Horse I,1995,,L,,,,,10/3/95,11:18am,"6""/5'4""",0.5,5.3,2.65,10.6,9.72,7.98,610,8.05,1.05,22.7,,,,,,244,6,0.3,40,0,0,0.05,0.045,0,0.210,0,,0,0.41,0,0,0,,,,43,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,43.27205,102.1460778,American Horse I,1996,,H,,,,,5/22/96,12:40pm,"1'1""/14'1""",1.1,14.1,15.275,13.01538462,19.94,9.66,573,7.6,2.1,6.13,,,,,,246,4,0.3,23,0,0,0.10,0.13,0,0.149,0,,0,0.10,0,0.03,0,,,,40,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,43.27205,102.1460778,American Horse I,1996,,L,,,,,9/17/96,12:30pm,"9""/7'6""",0.8,7.5,5.625,10,14.84,10.77,563,1.58,,9.1,,,,,,230,4,0.4,35,0,0,0.03,0.04,0.006,0.210,0,,0,0.16,0.009,0,0.0004,,,,44,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,43.27205,102.1460778,American Horse I,1997,,H,,,,,6/4/97,12:43pm,"1'5""/9'",1.0,9,9,9,18.66,7.88,433,6.35,1.6,360,,,,,,176,0,0.28,0.36,0.44,0.44,0.70,0.4,0.016,0.300,0,,0.03,11.00,0.017,0.39,0,0,,0,34,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,43.27205,102.1460778,American Horse I,1997,,H,,,,,8/18/97,11:00am,"6""/7'5""",0.5,7.5,3.75,15,18.99,8.88,502,4.57,0.57,22,,,,,,232,3,0.39,33,0,0,0.09,0.1,0,0.160,0,0,0.01,0.36,0.003,0.04,0,0,,0,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,43.27205,102.1460778,American Horse I,1998,,H,,,,,,,,,,,,,,,,,,,,,,,232,5,0.43,23,0,0,0.00,0,0.007,0.100,0,0,0,0.25,0,0.06,0,0,,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,43.27205,102.1460778,American Horse I,2000,,L,,,,,,,,,,,,,,,,,,,,,,,204,3,0.5,15,ND,0.7,0.02,0.04,0.006,,,,,0.10,,,,,,,23,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,43.27814444,101.8248556,Bear Creek I,1993,,H,,,,,6/30/93,1:35pm,2'/4',2.0,4,8,2,22.3,7.63,375,8.8,1.19,8.8,,,,,,176,2,0.41,0,0.10,0.023,0.219,0.286,0,0.194,0,0.005,0,0.98,0,0.17,0,0,0,0,12,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,43.27814444,101.8248556,Bear Creek I,1993,,L,,,,,11/30/93,3:37pm,"6""/7'",0.5,7,3.5,14,2.3,8.43,221,13.37,0.86,0.09,,,,,,192,2,0.39,8,0.21,0,0.041,0.041,0,0.000,0,0,0,0.06,0,0,0,0,0.002,0.16,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,43.27814444,101.8248556,Bear Creek I,1994,,H,,,,,6/14/94,9:40am,"5""/9'10""",0.4,9.8,4.083333333,23.52,17.7,8.2,133,7.41,1.52,45.4,,,,,,210,16,0.39,14,0.10,0,0.060,0.099,0.01,0.190,0.007,,0,0.40,0,0.03,0.0009,,,,24,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,43.27814444,101.8248556,Bear Creek I,1994,,L,,,,,,,,,,,,,,,,,,,,,,,210,16,0.39,14,0.10,0,0.060,0.099,0.01,0.190,0.007,,0,0.40,0,0.03,0.0009,,,,24,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,43.27814444,101.8248556,Bear Creek I,1995,,H,,,,,5/24/95,1:42pm,"5""/12'",0.4,12,5,28.8,13,8,110,,,,,,,,,210,7,0.47,13,0.12,0,0.048,0.13,0.0061,0.112,0,,0,0.09,0,0,0,,,,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,43.27814444,101.8248556,Bear Creek I,1995,,L,,,,,10/11/95,11:00am,".4'/6'5""",0.3,6.5,1.625,26,9.93,7.81,459,6.84,0.88,4,,,,,,202,6,0.41,11,0.19,0,0.080,0.092,0,0.240,0,,0,0.11,0,0,0,,,,19,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,43.27814444,101.8248556,Bear Creek I,1996,,H,,,,,5/29/96,11:48am,"1'3""/7'5""",1.3,7.5,9.375,6,11.75,9.49,473,7.6,2.8,18,,,,,,210,3,0.4,10,0.27,0,0.110,0.14,0,0.182,0,,0.02,0.27,0,0.04,0,,,,19,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,43.27814444,101.8248556,Bear Creek I,1996,,L,,,,,9/20/96,11:50am,"8""/3'4""",0.7,3.3,2.2,4.95,10.79,10.05,423,1.68,2.8,11.2,,,,,,141,3,0.4,13,0.00,0,0.070,0.07,0.008,0.210,0,,0,0.28,0,0.05,0.0006,,,,21,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,43.27814444,101.8248556,Bear Creek I,1997,,H,,,,,6/19/97,12:25pm,"11""/5'8""",0.9,5.8,5.316666667,6.327272727,18.3,8.01,485,3.38,1.7,20.8,,,,,,236,4,0.37,13,0.13,0.13,0.100,0.12,0.01,0.200,0,,0.02,0.30,0.002,0.04,0.0005,0,,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,43.27814444,101.8248556,Bear Creek I,1997,,L,,,,,10/10/97,12:31pm,"9""/5'1""",0.8,5.1,3.825,6.8,11.53,8.1,425,3.18,1.5,12.7,,,,,,200,4,0.39,26,0.24,0.24,0.070,0.08,0.007,0.160,0,0,0,0.24,0,0.03,0,0,,0,26,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
